Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:17f2956f8d77405238bf767c6057e2bab77a1b4768fba9900992c03156e99827	arm64	Linux	Debian 10	5.0.0-preview.8	src/runtime/5.0/buster-slim/arm64v8/Dockerfile	dotnet/nightly/runtime	2020-08-13 21.45.45.00
sha256:1861ebacb1b9c1725ef28e61ffc899ec2c7426cd39d42f4cf2649d08b5a8519d	amd64	Windows	"Windows Server, version 1909"	2.1.17	2.1/aspnet/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-08 21.36.06.00
sha256:18ba62d9c97726ef66c4d101498d5234e5fde13af1bb1ddf1b7bfb948aa96065	amd64	Windows	"Windows Server, version 1903"	2.1.19	src/aspnet/2.1/nanoserver-1903/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-30 00.27.50.00
sha256:19083218cf9b759ee7b10f3e4a99e7435b0a2fb6c4eb68e2cc6226fc4c7a1493	amd64	Linux	Ubuntu 18.04	2.1.19	src/runtime-deps/2.1/bionic/amd64/Dockerfile	dotnet/core-nightly/runtime-deps	2020-06-30 00.27.19.00
sha256:198b530b3510942f1fdaefbdd1f7a744b9a6993489695f402cdb40bdc8360253	arm64	linux	Ubuntu 18.04	3.1.3	3.1/aspnet/bionic/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-04-22 01.51.23.00
sha256:1a0423efc8669db68d998fcb4ed463638dc846962b941a9a06299aecf6096e99	amd64	linux	Ubuntu 18.04	3.1.3	3.1/aspnet/bionic/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-22 01.51.23.00
sha256:1a24a2240f16095706cb07a9bd2a9c3651a33e5caa04c155c795e2f9b5a19234	arm64	Linux	Debian 10	5.0.0-preview.7	src/runtime/5.0/buster-slim/arm64v8/Dockerfile	dotnet/nightly/runtime	2020-06-30 00.30.50.00
sha256:1a69187d48cdf38142d022cc70b181c19685c7514ae98247b7f26872eae8dca9	amd64	Windows	"Windows Server, version 1909"	5.0.100-preview.8	src/sdk/5.0/nanoserver-1909/amd64/Dockerfile	dotnet/nightly/sdk	2020-08-18 13.05.54.00
sha256:1ad20440cdd06004bccc81ff3269c260eaa538a133ce7651b2175da17fcaa129	amd64	Linux	Alpine 3.11	2.1.18	2.1/aspnet/alpine3.11/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-19 17.38.02.00
sha256:1ad30006ce623fc35877e63b006e06ab5a61af973aedf57e05dc779da1577efb	amd64	Linux	Alpine 3.12	2.1.19	src/aspnet/2.1/alpine3.12/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-29 20.47.25.00
sha256:1b5c1c6ff99595d69a8e5d35070d2b2627068199a8c7581b1d438aca994c506e	arm64	Linux	Debian 10	3.1.3	3.1/aspnet/buster-slim/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-04-30 13.52.51.00
