Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:0143245735beb23ba015a95e8a3a75f1790719ad32381adf1e7783d1be509938	arm32	Linux	Debian 10	3.1.5	3.1/runtime-deps/buster-slim/arm32v7/Dockerfile	dotnet/core-nightly/runtime-deps	2020-06-11 21.51.35.00
sha256:014de8bbab979b15b850431afda2a6f016433c55b6d4449b22dc5672a48e0925	amd64	Linux	Ubuntu 20.04	3.1.3	3.1/aspnet/focal/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-29 13.37.16.00
sha256:014e9f7ba298ab8dd0c5fcd4572c2d79214d5723876e799356e5d8bfb64b33e4	amd64	Linux	Alpine 3.11	3.1.300	3.1/sdk/alpine3.11/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-06-04 17.02.32.00
sha256:014e9f7ba298ab8dd0c5fcd4572c2d79214d5723876e799356e5d8bfb64b33e4	amd64	Linux	Alpine 3.12	3.1.300	3.1/sdk/alpine3.12/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-06-04 17.02.32.00
sha256:0152705fed07202f1da500bff7d3a284660fbb856a5156956bf61512e376f50f	amd64	Windows	Windows Server 2019	3.1.4	3.1/aspnet/nanoserver-1809/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-03 18.18.47.00
sha256:015a528b570f3c5aca1d5cf509caa9a84c09331d48627c58e403bbcdfc40d672	arm32	Linux	Ubuntu 20.04	3.1.11	src/aspnet/3.1/focal/arm32v7/Dockerfile	dotnet/nightly/aspnet	2021-01-12 18.46.39.00
sha256:015a528b570f3c5aca1d5cf509caa9a84c09331d48627c58e403bbcdfc40d672	arm32	Linux	Ubuntu 20.04	3.1.11	src/aspnet/3.1/focal/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2021-01-12 18.46.39.00
sha256:015d1989939e5e03f561dcc10fa6e38560fb5c30fe71688b34384989db2e28ca	amd64	Windows	Windows Server 2019	5.0.0-preview.6	src/aspnet/5.0/nanoserver-1809/amd64/Dockerfile	dotnet/nightly/aspnet	2020-06-19 13.53.31.00
sha256:015e62a0a18c71dc5fdff44b1d1a8ea405ea4f6cfe2ed4ea6d3eaf1e82c6f9aa	arm32	Linux	Debian 10	3.1.6	src/runtime-deps/3.1/buster-slim/arm32v7/Dockerfile	dotnet/core-nightly/runtime-deps	2020-07-22 14.17.39.00
sha256:015fa7e7457108b92610aaf0169e0e5a13ee1d62fab879efa74911593f18c72a	amd64	Linux	Alpine 3.12	2.1.19	src/aspnet/2.1/alpine3.12/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-23 21.25.05.00
